name_cn,dateCST,Typhoon_Category,省
山陀儿,202409270500,非台风,
山陀儿,202409270800,非台风,
山陀儿,202409271100,非台风,
山陀儿,202409271400,非台风,
山陀儿,202409271700,非台风,
山陀儿,202409272000,非台风,
山陀儿,202409272300,非台风,
山陀儿,202409280200,非台风,
山陀儿,202409280500,非台风,
山陀儿,202409280800,非台风,
山陀儿,202409281100,非台风,
山陀儿,202409281400,非台风,
山陀儿,202409281700,非台风,
山陀儿,202409282000,热带低压,
山陀儿,202409282300,热带低压,
山陀儿,202409290200,热带低压,
山陀儿,202409290500,热带低压,
山陀儿,202409290800,热带低压,
山陀儿,202409291100,热带低压,
山陀儿,202409291400,热带低压,
山陀儿,202409291700,热带风暴,
山陀儿,202409292000,热带风暴,
山陀儿,202409292300,强热带风暴,
山陀儿,202409300100,强热带风暴,
山陀儿,202409300200,强热带风暴,
山陀儿,202409300300,强热带风暴,
山陀儿,202409300400,强热带风暴,
山陀儿,202409300500,强热带风暴,
山陀儿,202409300600,强热带风暴,
山陀儿,202409300700,强热带风暴,
山陀儿,202409300800,强热带风暴,
山陀儿,202409300900,强热带风暴,
山陀儿,202409301000,强热带风暴,
山陀儿,202409301100,强热带风暴,
山陀儿,202409301200,强热带风暴,
山陀儿,202409301300,强热带风暴,
山陀儿,202409301400,强热带风暴,
山陀儿,202409301500,强热带风暴,
山陀儿,202409301600,强热带风暴,
山陀儿,202409301700,强热带风暴,
山陀儿,202409301800,强热带风暴,
山陀儿,202409301900,强热带风暴,
山陀儿,202409302000,强热带风暴,
山陀儿,202409302100,强热带风暴,
山陀儿,202409302200,强热带风暴,
山陀儿,202409302300,强热带风暴,
山陀儿,202410010000,强热带风暴,
山陀儿,202410010100,强热带风暴,
山陀儿,202410010200,强热带风暴,
山陀儿,202410010300,强热带风暴,
山陀儿,202410010400,强热带风暴,
山陀儿,202410010500,强热带风暴,
山陀儿,202410010600,强热带风暴,
山陀儿,202410010700,强热带风暴,
飞燕,202409271400,非台风,
飞燕,202409271700,非台风,
飞燕,202409272000,非台风,
飞燕,202409272300,非台风,
飞燕,202409280200,非台风,
飞燕,202409280500,非台风,
飞燕,202409280800,非台风,
飞燕,202409281100,非台风,
飞燕,202409281400,非台风,
飞燕,202409281700,非台风,
飞燕,202409282000,非台风,
