tc_num,name_cn,name_en,dateUTC,dateCST,vmax,grade,latTC,lonTC,mslp,attr
2421,康妮,KONG-REY,202410250000,202410250800,18,热带风暴,13.3,145.3,998,analysis
2421,康妮,KONG-REY,202410250300,202410251100,18,热带风暴,14.0,144.6,998,analysis
2421,康妮,KONG-REY,202410250600,202410251400,18,热带风暴,14.7,143.4,998,analysis
2421,康妮,KONG-REY,202410250900,202410251700,18,热带风暴,15.1,142.5,998,analysis
2421,康妮,KONG-REY,202410251200,202410252000,18,热带风暴,15.3,141.7,998,analysis
2421,康妮,KONG-REY,202410251500,202410252300,18,热带风暴,15.5,140.8,998,analysis
2421,康妮,KONG-REY,202410251800,202410260200,18,热带风暴,16.4,139.6,998,analysis
2421,康妮,KONG-REY,202410252100,202410260500,18,热带风暴,17.2,138.6,998,analysis
2421,康妮,KONG-REY,202410260000,202410260800,18,热带风暴,17.0,137.7,998,analysis
2421,康妮,KONG-REY,202410260300,202410261100,18,热带风暴,16.7,137.1,998,analysis
2421,康妮,KONG-REY,202410260600,202410261400,18,热带风暴,16.7,136.7,998,analysis
2421,康妮,KONG-REY,202410260900,202410261700,18,热带风暴,16.7,135.6,998,analysis
2421,康妮,KONG-REY,202410261200,202410262000,18,热带风暴,16.7,134.7,998,analysis
2421,康妮,KONG-REY,202410261500,202410262300,18,热带风暴,16.7,134.4,998,analysis
2421,康妮,KONG-REY,202410270300,202410271100,18,热带风暴,17.1,132.7,998,forecast
2421,康妮,KONG-REY,202410271500,202410272300,20,热带风暴,17.2,131.1,995,forecast
2421,康妮,KONG-REY,202410280300,202410281100,23,热带风暴,17.3,129.5,990,forecast
2421,康妮,KONG-REY,202410281500,202410282300,25,强热带风暴,17.7,128.4,985,forecast
2421,康妮,KONG-REY,202410290300,202410291100,28,强热带风暴,18.6,127.5,982,forecast
2421,康妮,KONG-REY,202410291500,202410292300,33,台风,20.0,126.7,975,forecast
2421,康妮,KONG-REY,202410301500,202410302300,40,台风,22.4,126.2,960,forecast
2421,康妮,KONG-REY,202410311500,202410312300,45,强台风,26.0,125.9,950,forecast
2420,潭美,TRAMI,202410210900,202410211700,15,热带低压,13.1,129.6,1000,analysis
2420,潭美,TRAMI,202410211200,202410212000,15,热带低压,13.2,129.3,1000,analysis
2420,潭美,TRAMI,202410211500,202410212300,15,热带低压,13.4,128.7,1000,analysis
2420,潭美,TRAMI,202410211800,202410220200,18,热带风暴,13.5,128.1,998,analysis
2420,潭美,TRAMI,202410212100,202410220500,18,热带风暴,13.6,127.6,998,analysis
2420,潭美,TRAMI,202410220000,202410220800,18,热带风暴,13.9,127.5,998,analysis
2420,潭美,TRAMI,202410220300,202410221100,18,热带风暴,14.1,127.0,998,analysis
2420,潭美,TRAMI,202410220600,202410221400,18,热带风暴,14.3,126.5,998,analysis
2420,潭美,TRAMI,202410220900,202410221700,18,热带风暴,14.5,126.1,998,analysis
2420,潭美,TRAMI,202410221200,202410222000,18,热带风暴,14.6,125.9,998,analysis
